threshold,class,Recall,Precision
0,overall,56.56,35.1
0,0,44.52,31.19
0,1,44.5,22.1
0,2,41.45,28.23
0,3,46.59,27.17
0,4,63.27,39.45
0,5,62.24,37.33
0,6,62.71,35.76
0,7,63.04,35.01
0,8,68.68,39.24
0,9,70.94,45.32
0,10,70.03,43.31
0,11,69.51,44.51
0,12,27.78,27.65
10,overall,55.93,36.99
10,0,43.74,33.11
10,1,43.32,23.29
10,2,40.68,30.41
10,3,46.06,29.11
10,4,62.68,41.4
10,5,61.64,39.5
10,6,61.93,38.24
10,7,62.87,36.76
10,8,68.03,41.12
10,9,70.49,47.27
10,10,69.77,45.42
10,11,68.96,46.57
10,12,26.93,28.72
20,overall,50.75,51.67
20,0,39.74,46.81
20,1,35.7,43.42
20,2,33.44,43.06
20,3,40.14,42.59
20,4,57.93,55.8
20,5,55.95,54.4
20,6,55.33,52.77
20,7,57.57,51.72
20,8,63.67,57.5
20,9,65.94,62.65
20,10,65.88,59.93
20,11,64.72,61.53
20,12,23.75,39.51
30,overall,44.69,61.28
30,0,34.58,56.3
30,1,29.1,59.11
30,2,28.81,52.82
30,3,31.72,51.01
30,4,51.57,65.59
30,5,51.03,64.28
30,6,49.87,61.24
30,7,51.04,61.53
30,8,57.57,67.3
30,9,58.67,70.88
30,10,58.61,68.59
30,11,58.05,69.64
30,12,20.32,48.4
40,overall,37.66,68.36
40,0,28.77,64.45
40,1,21.49,69.4
40,2,21.88,60.43
40,3,26.34,59.27
40,4,46.14,73.81
40,5,43.19,70.27
40,6,41.28,67.14
40,7,44.17,67.46
40,8,49.38,74.05
40,9,50.23,77.17
40,10,51.08,75.7
40,11,48.73,74.09
40,12,16.89,55.42
50,overall,28.79,73.75
50,0,22.45,72.5
50,1,12.69,78.12
50,2,17.72,67.65
50,3,19.35,65.06
50,4,35.71,77.96
50,5,33.1,75.89
50,6,32.26,70.99
50,7,34.7,72.02
50,8,38.27,78.45
50,9,38.86,82.25
50,10,39.34,80.76
50,11,38.61,79.08
50,12,11.14,57.96
60,overall,19.14,80.45
60,0,14.84,78.77
60,1,2.2,92.86
60,2,11.56,75.76
60,3,14.16,77.45
60,4,23.24,80.35
60,5,23.1,80.0
60,6,23.59,76.4
60,7,24.17,78.31
60,8,25.23,80.14
60,9,27.34,86.7
60,10,26.49,83.66
60,11,25.96,82.44
60,12,6.98,73.08
70,overall,10.48,83.68
70,0,8.9,87.34
70,1,0.0,
70,2,6.16,83.33
70,3,5.91,78.57
70,4,12.55,83.62
70,5,13.71,84.13
70,6,14.22,82.83
70,7,14.7,86.22
70,8,13.53,84.23
70,9,16.17,90.65
70,10,13.52,87.71
70,11,14.1,86.81
70,12,2.69,68.75
80,overall,3.38,87.84
80,0,2.06,94.12
80,1,0.0,
80,2,2.0,92.86
80,3,1.79,90.91
80,4,4.33,80.95
80,5,5.17,90.91
80,6,5.12,86.76
80,7,5.57,87.67
80,8,3.72,86.25
80,9,4.7,92.08
80,10,4.51,92.63
80,11,4.78,92.31
80,12,0.24,66.67
90,overall,0.13,91.25
90,0,0.0,
90,1,0.0,
90,2,0.0,
90,3,0.0,
90,4,0.17,100.0
90,5,0.52,100.0
90,6,0.35,80.0
90,7,0.26,100.0
90,8,0.11,100.0
90,9,0.05,50.0
90,10,0.1,100.0
90,11,0.15,100.0
90,12,0.0,
100,overall,0.0,
100,0,0.0,
100,1,0.0,
100,2,0.0,
100,3,0.0,
100,4,0.0,
100,5,0.0,
100,6,0.0,
100,7,0.0,
100,8,0.0,
100,9,0.0,
100,10,0.0,
100,11,0.0,
100,12,0.0,
